Country,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,RenewableShare,CO2PerCapita
Peru,0.07526881720430108,0.009461014622095214,0.19229009380004577,55.085,1.9352938
Germany,0.07526881720430108,0.0014395457913350597,0.22664913877372164,42.947,7.942359
Croatia,0.06451612903225806,0.02112890976207621,0.17173652082854443,63.314,4.500902
South Korea,0.06451612903225806,0.030056880162069474,0.1789630575960822,9.212,11.719733
Taiwan,0.05376344086021506,0.02976468754869874,0.17852117350325236,7.731,11.698872
Bangladesh,0.05376344086021506,0.0001476099245040471,0.17985342106670946,1.948,0.6030491
Singapore,0.05376344086021506,0.0,0.18444151854290103,2.409,8.6610365
Iran,0.05376344086021506,0.0,0.18444151854290103,4.965,8.569505
Mongolia,0.05376344086021506,0.00044802867383512545,0.15062724014336917,8.803,11.944179
Pakistan,0.05376344086021506,0.0,0.19178004050084138,28.685,0.8697954
Finland,0.05376344086021506,0.00304818198455167,0.1892698305466419,54.898,6.5245185
Nigeria,0.05376344086021506,0.0,0.19178004050084138,27.508,0.58902264
Kazakhstan,0.043010752688172046,5.84385226741468e-05,0.15000223084816847,11.341,13.693581
Russia,0.043010752688172046,0.011843540595293769,0.17764391957940345,18.361,11.508876
Brazil,0.043010752688172046,0.00115838138278531,0.11872097745290182,86.94,2.2826612
Austria,0.043010752688172046,0.0013849141495813815,0.13217746849875173,76.287,6.779517
Bolivia,0.043010752688172046,0.004456256629954423,0.2295272230756102,39.308,1.9448458
Turkmenistan,0.043010752688172046,0.018934081346423562,0.15031408579795677,0.04,14.11619
Estonia,0.043010752688172046,0.0,0.20195831080675197,44.005,8.863261
Kenya,0.03225806451612903,0.018934081346423562,0.11718164549241039,89.781,0.37868083
Burundi,0.03225806451612903,0.0,0.13145650048875854,69.444,0.06587466
Sri Lanka,0.03225806451612903,0.0,0.18828405017921146,51.574,0.80477285
New Zealand,0.03225806451612903,0.0,0.11794628918240979,85.556,6.229061
United States,0.010752688172043012,0.0,0.010752688172043012,22.521,14.802047
United Arab Emirates,0.010752688172043012,0.0,0.010752688172043012,4.5,20.220825
Kuwait,0.010752688172043012,0.0,0.010752688172043012,0.258,25.242083
Costa Rica,0.010752688172043012,0.0,0.1035832023908556,98.021,1.5762514
Trinidad and Tobago,0.010752688172043012,0.0,0.010752688172043012,0.055,25.063381
Saudi Arabia,0.010752688172043012,0.0,0.010752688172043012,0.208,20.729954
Norway,0.010752688172043012,0.0,0.010752688172043012,98.972,7.4829626
Australia,0.010752688172043012,0.0,0.010752688172043012,32.303,14.65893
Oman,0.010752688172043012,0.0,0.12864960012245055,0.431,16.488375
Iceland,0.010752688172043012,0.0,0.010752688172043012,99.986,9.458432
Qatar,0.0,0.0,0.0,0.065,37.88961
Canada,0.0,0.0,0.0,69.744,14.107159
Luxembourg,0.0,0.0,0.0,85.841,11.134566
